,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
34,0.027030000000000002,0.00135,0.00135,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,5250.0,147.57399999999998,147.57399999999998,0.9,0.115,0.115
56,0.027999999999999997,0.0084,0.0082,0.4273,0.027000000000000003,0.027000000000000003,8.463446000000001,5e-06,5e-06,3700.0,100.0,100.0,0.5,0.03,0.03
57,0.10099999999999999,0.059000000000000004,0.19,0.2489,0.00285,0.0025,18.859023,2e-05,2e-05,3700.0,100.0,100.0,0.5,0.03,0.03
79,0.07,0.03,0.03,0.23,0.01,0.01,41.6855,0.0031,0.0031,5766.0,99.0,99.0,1.67,0.4,0.4
111,0.06,0.0214,0.0941,0.4354,0.0348,0.0152,9.755980000000001,0.00011,0.00011,5939.0,120.0,54.0,1.099,0.049,0.049
113,0.018000000000000002,0.01799,0.0,0.33,0.04,0.04,5.1134,0.0006,0.0006,4950.0,150.0,150.0,0.91,0.09,0.09
114,0.08800000000000001,0.035,0.035,0.44,0.04,0.04,11.759,0.0063,0.0063,4950.0,150.0,150.0,0.91,0.09,0.09
123,0.15,0.1,0.1,0.57,0.06,0.06,6.718369999999999,1e-05,1e-05,5970.0,100.0,100.0,1.09,0.08,0.08
132,0.2158,0.034,0.034,0.5692,0.0196,0.0196,6.21229,2.9999999999999997e-05,2.9999999999999997e-05,5080.0,80.0,80.0,0.88,0.04,0.04
139,0.0453,0.0453,0.0,0.5085,0.0152,0.0152,8.138268,1e-05,1e-05,5597.0,59.0,28.0,0.9590000000000001,0.031,0.031
158,0.013000000000000001,0.00198,0.00198,0.17,0.0058,0.0058,5.745998200000001,2e-06,2e-06,3348.0,32.0,32.0,0.29,0.02,0.02
175,0.005220000000000001,0.00072,0.00072,0.1035,0.0098,0.0098,1.628931,2.7000000000000002e-05,2.7000000000000002e-05,3270.0,140.0,140.0,0.18100000000000002,0.019,0.019
178,0.025710000000000004,0.00135,0.00135,0.24463000000000001,0.00473,0.00473,1.580404497,3e-08,3e-08,3026.0,150.0,150.0,0.15,0.011000000000000001,0.011000000000000001
179,0.00415,0.00176,0.00176,0.1053,0.006959999999999999,0.006959999999999999,0.5182349,5e-06,6.3e-06,3458.0,133.0,140.0,0.381,0.019,0.019
182,0.0714,0.006,0.0069,0.2329,0.0143,0.0152,35.61253,0.00062,0.0006,4640.0,100.0,100.0,0.76,0.006999999999999999,0.006999999999999999
183,0.011640000000000001,0.011637999999999999,0.0,0.07958,0.00517,0.00571,7.78993,0.00044,0.0005099999999999999,4640.0,100.0,100.0,0.76,0.006999999999999999,0.006999999999999999
211,0.01051,0.00227,0.00227,0.19,0.0098,0.0098,2.8531054,2.3e-06,2.3e-06,3556.0,70.0,70.0,0.519,0.013000000000000001,0.013000000000000001
229,0.0437,0.0016,0.0016,0.38826,0.0027,0.0027,3.336649,8.1e-05,8.4e-05,3652.0,50.0,50.0,0.51,0.06,0.06
