,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
101,0.917,0.065,0.07,1.44,0.13,0.13,2.8280517000000005,1.2e-06,1.2e-06,5675.0,80.0,80.0,1.078,0.07200000000000001,0.07200000000000001
102,1.308,0.066,0.066,0.885,0.013999999999999999,0.013999999999999999,4.0350906,3.6000000000000003e-06,3.6000000000000003e-06,5945.0,90.0,90.0,1.09,0.02,0.02
104,0.535,0.085,0.085,1.17,0.14,0.14,5.35227,0.0002,0.0002,5650.0,100.0,100.0,1.0979999999999999,0.078,0.078
107,1.11,0.06,0.06,1.29,0.05,0.05,3.8971372000000004,2.1000000000000002e-06,2.1000000000000002e-06,6090.0,70.0,70.0,1.21,0.06,0.06
108,1.03,0.12,0.12,1.49,0.08,0.08,1.50896848,1.1e-07,1.1e-07,6298.0,66.0,66.0,0.95,0.15,0.15
116,0.52,0.05,0.05,1.26,0.07,0.13,4.20474,5e-05,5e-05,5590.0,100.0,100.0,1.09,0.06,0.06
119,0.85,0.2,0.2,0.9,0.16,0.16,2.8505700000000003,6e-06,6e-06,5260.0,100.0,100.0,0.976,0.14,0.14
122,0.84,0.34,0.34,1.46,0.3,0.3,4.62941,0.00075,0.00075,5370.0,126.0,99.0,1.25,0.22,0.22
124,1.1,0.37,0.37,1.68,0.11,0.11,3.22748,8e-05,8e-05,6390.0,130.0,130.0,1.01,0.07,0.07
125,0.68,0.68,0.47,1.41,0.14,0.14,5.616531,2.3e-05,2.3e-05,6730.0,140.0,140.0,1.32,0.09,0.09
126,0.72,0.08,0.08,1.19,0.05,0.05,9.20166201,4e-06,4e-06,6190.0,60.0,60.0,1.1,0.02,0.02
159,1.68,0.11,0.11,1.229,0.021,0.021,3.0425240000000002,1.7e-05,1.7e-05,5370.0,140.0,140.0,0.93,0.12,0.12
161,0.773,0.040999999999999995,0.040999999999999995,1.327,0.013999999999999999,0.013999999999999999,3.6915237000000003,3.5000000000000004e-06,3.5000000000000004e-06,5720.0,64.0,64.0,1.0,0.095,0.095
324,0.9,0.03,0.03,1.44,0.04,0.04,2.916415,8e-05,8e-05,5638.0,90.0,90.0,1.22,0.1,0.1
332,0.525,0.019,0.019,1.319,0.019,0.019,4.46529976,5.5e-07,5.5e-07,5980.0,49.0,49.0,1.151,0.052000000000000005,0.052000000000000005
337,0.685,0.033,0.033,1.242,0.067,0.067,3.3552400000000002,7.000000000000001e-06,7.000000000000001e-06,6373.0,80.0,80.0,1.1909999999999998,0.042,0.042
341,0.66,0.033,0.033,1.055,0.036000000000000004,0.036000000000000004,3.0395803,1.5e-06,1.5e-06,5300.0,90.0,90.0,0.945,0.035,0.035
343,0.626,0.037000000000000005,0.037000000000000005,1.212,0.08199999999999999,0.113,3.257215,7.000000000000001e-06,7.000000000000001e-06,5680.0,90.0,90.0,1.025,0.047,0.047
344,0.778,0.04,0.076,1.107,0.08199999999999999,0.136,5.723186,4.9e-05,4.9e-05,6087.0,88.0,88.0,1.207,0.046,0.046
347,0.723,0.017,0.017,1.41,0.036000000000000004,0.036000000000000004,2.81060078,4.6e-07,4.6e-07,6250.0,100.0,100.0,1.18,0.03,0.03
349,0.75,0.13,0.13,1.7890000000000001,0.025,0.025,2.15000825,1.2e-07,1.2e-07,6001.0,88.0,88.0,1.176,0.07,0.07
350,0.763,0.11699999999999999,0.11699999999999999,1.827,0.29,0.29,3.474474,1e-06,1e-06,6401.0,88.0,88.0,1.403,0.096,0.096
352,1.054,0.033,0.033,1.3319999999999999,0.098,0.098,3.6467059999999996,2.1e-05,2.1e-05,6096.0,88.0,88.0,1.236,0.048,0.048
353,1.8319999999999999,0.099,0.099,1.264,0.071,0.071,1.3273469999999998,3e-06,3e-06,5580.0,100.0,100.0,1.022,0.049,0.049
354,1.169,0.10300000000000001,0.10300000000000001,1.178,0.077,0.077,2.7974360000000003,7.000000000000001e-06,7.000000000000001e-06,5500.0,100.0,100.0,0.929,0.043,0.043
356,0.599,0.099,0.099,1.571,0.081,0.10800000000000001,3.5438699999999996,5e-06,5e-06,6430.0,100.0,100.0,1.4040000000000001,0.051,0.051
357,0.591,0.018000000000000002,0.018000000000000002,0.8270000000000001,0.055,0.055,2.8997029999999997,5.4000000000000005e-05,5.4000000000000005e-05,5224.0,69.0,69.0,0.917,0.03,0.03
358,0.615,0.038,0.038,1.73,0.062,0.062,4.457243,1e-05,1e-05,6080.0,100.0,100.0,1.5119999999999998,0.109,0.045
359,0.8,0.102,0.102,1.685,0.051,0.076,2.6940470000000003,4e-06,4e-06,6479.0,103.8,96.97,1.32,0.163,0.252
360,0.975,0.126,0.126,1.2770000000000001,0.149,0.149,4.641876,3.2e-05,3.2e-05,5743.0,50.0,50.0,1.179,0.067,0.067
361,0.66,0.083,0.083,1.2830000000000001,0.034,0.057,3.3326879999999997,1.6e-05,1.6e-05,5645.0,74.0,74.0,1.048,0.042,0.031
364,0.892,0.099,0.13699999999999998,1.426,0.087,0.175,3.1289919999999998,1e-05,1e-05,6330.0,100.0,100.0,1.2590000000000001,0.057999999999999996,0.057999999999999996
