,mass,radius,orbital_period,star_teff,star_age
101,0.917,1.44,2.8280517000000005,5675.0,6.3
102,1.308,0.885,4.0350906,5945.0,1.64
104,0.535,1.17,5.35227,5650.0,6.73
107,1.11,1.29,3.8971372000000004,6090.0,5.0
116,0.52,1.26,4.20474,5590.0,8.6
119,0.85,0.9,2.8505700000000003,5260.0,4.5
122,0.84,1.46,4.62941,5370.0,4.7
124,1.1,1.68,3.22748,6390.0,6.1
125,0.68,1.41,5.616531,6730.0,2.1
126,0.72,1.19,9.20166201,6190.0,1.0
324,0.9,1.44,2.916415,5638.0,5.0
332,0.525,1.319,4.46529976,5980.0,3.6
337,0.685,1.242,3.3552400000000002,6373.0,2.8
338,0.5670000000000001,1.19,3.652836,5500.0,3.2
341,0.66,1.055,3.0395803,5300.0,4.4
343,0.626,1.212,3.257215,5680.0,6.1
344,0.778,1.107,5.723186,6087.0,2.2
347,0.723,1.41,2.81060078,6250.0,1.0
349,0.75,1.7890000000000001,2.15000825,6001.0,3.8
350,0.763,1.827,3.474474,6401.0,2.4
352,1.054,1.3319999999999999,3.6467059999999996,6096.0,3.5
353,1.8319999999999999,1.264,1.3273469999999998,5580.0,6.6
354,1.169,1.178,2.7974360000000003,5500.0,3.6
356,0.599,1.571,3.5438699999999996,6430.0,2.0
357,0.591,0.8270000000000001,2.8997029999999997,5224.0,1.6
358,0.615,1.73,4.457243,6080.0,2.7
359,0.8,1.685,2.6940470000000003,6479.0,2.2
360,0.975,1.2770000000000001,4.641876,5743.0,5.1
361,0.66,1.2830000000000001,3.3326879999999997,5645.0,5.7
364,0.892,1.426,3.1289919999999998,6330.0,2.0
369,1.73,1.4480000000000002,2.6915575,6820.0,1.5
370,0.68,1.27,3.0565113999999998,5890.0,4.2
371,1.36,1.288,3.1220109000000003,6280.0,3.37
373,0.8190000000000001,1.0090000000000001,2.7535952999999997,5131.0,9.4
374,1.4869999999999999,1.318,1.9616241,5956.0,4.67
375,0.76,0.9440000000000001,3.799847,4390.0,3.9
376,0.5820000000000001,1.182,3.5852467000000003,5808.0,4.2
378,1.85,1.413,2.4652950000000002,7500.0,1.0
380,1.54,1.123,4.1419771,5678.0,7.3
381,1.06,1.252,2.788491,5960.0,1.7
382,0.574,1.631,4.7947812999999995,6212.0,2.765
383,1.057,0.899,1.90231289,5587.0,2.6
384,0.7609999999999999,1.073,2.6453235,5629.0,8.1
385,0.614,1.119,3.377728,5400.0,9.0
386,0.58,1.703,4.007232,6457.0,2.88
387,0.527,1.89,2.6054552,5835.0,5.46
388,0.7829999999999999,1.59,2.972086,6002.0,4.66
390,0.7240000000000001,1.072,2.29840551,4508.0,11.1
392,1.11,1.275,3.8529972000000003,6570.0,2.3
394,1.79,1.51,2.20473825,6532.23,2.07
395,1.35,1.42,3.076318,6401.79,3.4
396,0.67,1.4,3.922814,6350.0,1.6
397,0.526,0.9690000000000001,3.312846,5880.0,3.3
398,0.85,1.609,3.619188,5871.0,7.7
400,0.5429999999999999,1.212,3.0440499,5523.0,2.5
401,1.071,1.0390000000000001,2.7667641,5346.0,4.9
405,1.98,1.337,0.8378434000000001,5600.0,4.2
407,1.855,1.3019999999999998,3.4464589999999995,5870.0,6.0
411,1.47,1.86,2.1605156,5780.0,4.2
413,0.613,1.26,4.2986432,5715.0,7.5
414,0.65,1.75,3.3023881,6071.0,4.04
415,0.53,1.5,4.6370379999999995,6438.0,2.3
416,0.672,1.194,3.1810781,5498.0,6.2
417,0.653,1.251,4.605874900000001,5670.0,5.5
418,1.345,1.168,1.354133,5227.0,9.7
419,0.706,1.175,3.1743516,5943.0,2.3
420,0.88,1.64,3.37796,6050.0,4.3
421,0.92,1.249,2.8126548,5700.0,3.5
422,1.192,1.23,2.5495551,5659.0,3.0
423,0.941,1.43,2.1061607,5380.0,7.7
424,1.222,1.464,1.8209933,6300.0,2.13
428,0.63,1.57,4.5776348,6572.0,2.06
429,1.071,1.381,3.547851,6351.0,3.2
430,1.59,1.58,3.2642736,6460.0,2.07
432,1.88,1.4,2.292102,6060.0,3.26
434,0.56,1.067,2.7439004000000002,5080.0,9.7
435,0.7,1.286,4.1876244,6450.0,1.52
440,1.3230000000000002,1.02,2.516729,5403.0,2.1
442,0.768,1.41,3.3488702000000004,5758.0,4.74
444,0.595,1.34,3.8537767999999994,5644.0,8.0
445,0.753,1.015,2.5441765,5621.0,7.96
447,0.602,1.6880000000000002,4.324799,6536.0,1.8940000000000001
449,1.03,1.095,4.218089599999999,7175.0,0.31
450,0.8059999999999999,1.126,5.416081,5670.0,4.3
453,0.662,1.153,3.560829,5690.0,7.53
456,0.96,1.207,3.0566527000000003,5626.0,10.4
457,0.96,1.679,4.9088970000000005,6560.0,1.86
458,0.821,1.501,3.105161,6276.0,1.42
460,1.45,1.685,1.6091788,6605.0,0.44
461,1.29,1.2321,3.5862202000000005,6122.0,3.14
462,0.5770000000000001,0.945,2.2252577000000002,5137.0,8.0
467,1.46,1.032,1.73185606,3776.9,11.0
470,1.374,1.165,3.0876262000000003,4071.0,12.1
473,0.8390000000000001,1.236,1.915291,5599.0,10.8
785,1.138,1.138,2.219,4875.0,0.6
815,1.008,1.5619999999999998,3.30896,6230.0,1.8
842,0.69,1.38,3.52472,6092.0,4.0
934,1.18,1.44,4.12692,6801.0,1.3
1307,0.84,1.426,3.3139589999999997,6061.0,4.25
1313,1.28,1.083,5.817685,5660.0,5.9
1352,0.93,1.093,6.56918,5705.0,9.8
1498,0.86,1.3,3.20466,5630.0,5.63
1528,1.42,1.5519999999999998,2.6266657,6367.0,1.9
1588,0.73,1.19,3.2588321,5387.06,2.6
1608,0.579,1.0390000000000001,4.098503,5425.0,3.9
1830,1.1,0.9470000000000001,8.406725999999999,4717.0,7.8
1836,0.679,1.399,4.166285,5948.0,4.5
1838,0.95,1.79,5.0316144,6330.0,0.8
